produto_id,feed_id,loja,nome,preco_atual,preco_anterior,preco_min,preco_max,primeira_vez,ultima_alteracao
41816592133,98680,Clovis Calçados BR,Sandália Feminina Meia Pata Vizzano 6472213 BRONZE 36,189.99,189.99,189.99,189.99,2026-08-09,2026-08-09
41816592135,98680,Clovis Calçados BR,Tênis Infantil Masculino Molekinho 283113 PRETO 31,99.99,99.99,99.99,99.99,2026-08-09,2026-08-09
41834209024,97939,Leveros BR,Ar-Condicionado Splitão Carrier 20 TR Só Frio 220V Trifásico,43043.55,43043.55,43043.55,43043.55,2026-08-09,2026-08-09
41834209292,98680,Clovis Calçados BR,Sapato Feminino Salto Taça Via Marte 145012 AZUL 38,99.99,99.99,99.99,99.99,2026-08-09,2026-08-09
41834209295,98680,Clovis Calçados BR,Tênis Feminino Casual Beira Rio 4305112 BRANCO/CINZA 34,119.99,119.99,119.99,119.99,2026-08-09,2026-08-09
41834209296,98680,Clovis Calçados BR,Sapatilha Feminina Flat Usaflex MM1601 PRETO 34,149.99,149.99,149.99,149.99,2026-08-09,2026-08-09
41834209297,98680,Clovis Calçados BR,Bota Infantil Feminina Coturno Molekinha 2182100 PRETO 26,129.99,129.99,129.99,129.99,2026-08-09,2026-08-09
41834209298,98680,Clovis Calçados BR,Tamanco Feminino Flat Moleca 5539104 PRETO 34,79.99,79.99,79.99,79.99,2026-08-09,2026-08-09
41834209299,98680,Clovis Calçados BR,Scarpin Feminino Salto Fino Modare 7013576 PRETO 34,99.99,99.99,99.99,99.99,2026-08-09,2026-08-09
41834209300,98680,Clovis Calçados BR,Sapatilha Feminina Flat Modare 7334251 PRETO 34,79.99,79.99,79.99,79.99,2026-08-09,2026-08-09
41834209301,98680,Clovis Calçados BR,Clog Patrulha Canina Pump Grendene Kids 23260 AZUL 20/21,39.99,39.99,39.99,39.99,2026-08-09,2026-08-09
41834209302,98680,Clovis Calçados BR,Clog Patrulha Canina Pump Grendene Kids 23260 ROSA 19,39.99,39.99,39.99,39.99,2026-08-09,2026-08-09
41834209303,98680,Clovis Calçados BR,Tênis Chuck Taylor All Star High Street Converse CT2938 NATURAL 37,249.99,249.99,249.99,249.99,2026-08-09,2026-08-09
41834209304,98680,Clovis Calçados BR,Tênis Infantil Feminino Molekinha 2571109 MARFIM 26,99.99,99.99,99.99,99.99,2026-08-09,2026-08-09
41834209305,98680,Clovis Calçados BR,Tênis Casual Liberty Rainha RA0244 BRANCO/VERDE 34,99.99,99.99,99.99,99.99,2026-08-09,2026-08-09
41834209306,98680,Clovis Calçados BR,Tênis Casual Liberty Rainha RA0244 PRETO/BRANCO 39,99.99,99.99,99.99,99.99,2026-08-09,2026-08-09
41834209307,98680,Clovis Calçados BR,Sapatilha Infantil Feminina Molekinha 20831131 VERNIZ/PRETO 33,59.99,59.99,59.99,59.99,2026-08-09,2026-08-09
41834209308,98680,Clovis Calçados BR,Tênis Masculino Mont Car III Rainha RA0020 MARINHO 39,99.99,99.99,99.99,99.99,2026-08-09,2026-08-09
41834209309,98680,Clovis Calçados BR,Tênis Chuck Taylor All Star Wedge Platform Leather Converse A12827C PRETO 37,399.99,399.99,399.99,399.99,2026-08-09,2026-08-09
41834209310,98680,Clovis Calçados BR,Sapato Feminino Salto Grosso Modare 7373117 NATURAL 34,139.99,139.99,139.99,139.99,2026-08-09,2026-08-09
41834209311,98680,Clovis Calçados BR,Sapato Feminino Salto Grosso Modare 7373117 PRETO 35,139.99,139.99,139.99,139.99,2026-08-09,2026-08-09
41834209312,98680,Clovis Calçados BR,Tênis Chuck Taylor All Star Wedge Mended Embellishment Converse A12514C PRETO 37,449.99,449.99,449.99,449.99,2026-08-09,2026-08-09
41834209313,98680,Clovis Calçados BR,Sapatilha Feminina Flat Moleca 5726136 PRETO 34,49.99,49.99,49.99,49.99,2026-08-09,2026-08-09
41834209315,98680,Clovis Calçados BR,Mocassim Feminino Beira Rio 4283104 PRETO 01 37,59.99,59.99,59.99,59.99,2026-08-09,2026-08-09
41834209316,98680,Clovis Calçados BR,Tênis Infantil Masculino Molekinho 2866106 PRETO 27,129.99,129.99,129.99,129.99,2026-08-09,2026-08-09
41834209317,98680,Clovis Calçados BR,Tênis Infantil Masculino Baby Molekinho 2635106 BEGE/VERDE 20,79.99,79.99,79.99,79.99,2026-08-09,2026-08-09
41834209318,98680,Clovis Calçados BR,Tênis Infantil Masculino Baby Molekinho 2635106 PRETO/VERDE 20,79.99,79.99,79.99,79.99,2026-08-09,2026-08-09
41840754174,98680,Clovis Calçados BR,Sapato Masculino Social Bkarellus TR084 PRETO 37,99.99,99.99,99.99,99.99,2026-08-09,2026-08-09
41840754175,98680,Clovis Calçados BR,Sapato Feminino Salto Grosso Usaflex MA0802 PRETO 34,199.99,199.99,199.99,199.99,2026-08-09,2026-08-09
41840754176,98680,Clovis Calçados BR,Sandália Feminina Anabela Usaflex MM0701 PRETO 34,149.99,149.99,149.99,149.99,2026-08-09,2026-08-09
41840754177,98680,Clovis Calçados BR,Sapato Masculino Social Polo Start 803 PRETO 39,99.99,99.99,99.99,99.99,2026-08-09,2026-08-09
41840754178,98680,Clovis Calçados BR,Peep Toe Feminino Salto Grosso Usaflex MM1501 CHOCOLATE 34,149.99,149.99,149.99,149.99,2026-08-09,2026-08-09
41840754179,98680,Clovis Calçados BR,Peep Toe Feminino Salto Grosso Usaflex MM1501 BEGE 37,149.99,149.99,149.99,149.99,2026-08-09,2026-08-09
41840754180,98680,Clovis Calçados BR,Tênis Feminino Casual Kolosh C1299A PRETO 34,199.99,199.99,199.99,199.99,2026-08-09,2026-08-09
41840754181,98680,Clovis Calçados BR,Sandália Feminina Flat Modare - 7174113 SALMÃO 34,79.99,79.99,79.99,79.99,2026-08-09,2026-08-09
